cy_id_old,cy_id_new,gps_north_degree,gps_north_minute,gps_east_degree,gps_east_minute,subdistrict,district
M-JKT-054,M-JKT-051,6,12.36,106,52.184,MATRAMAN,JAKARTA TIMUR
D-BGR-191,D-BGR-191,6,19.707,106,27.756,TENJO,BOGOR
M-JKU-075,M-JKU-069,6,6.609,106,56.906,CILINCING,JAKARTA UTARA
M-JKU-070,M-JKU-069,6,6.605,106,56.903,CILINCING,JAKARTA UTARA
M-TGR-113,M-TGR-110,6,10.507,106,38.56,TANGERANG,KOTA TANGERANG
M-TGR-080,M-TGR-080,6,10.447,106,38.591,TANGERANG,KOTA TANGERANG
M-TGR-023,M-TGR-022,6,10.55,106,38.604,TANGERANG,KOTA TANGERANG
D-BKS-046,D-BKS-045,6,16.151,107,15.98,KEDUNGWARINGIN,BEKASI
M-BKS-058,M-BKS-058,6,12.118,107,2.377,BEKASI UTARA,KOTA BEKASI
D-BKS-064,D-BKS-062,6,12.454,107,10.307,KARANGBAHAGIA,BEKASI
M-JKT-099,M-JKT-098,6,19.686,106,53.914,CIPAYUNG,JAKARTA TIMUR
M-JKT-101,M-JKT-101,6,21.064,106,52.55,CIPAYUNG,JAKARTA TIMUR
M-JKT-098,M-JKT-098,6,19.666,106,53.875,CIPAYUNG,JAKARTA TIMUR
M-TGR-119,M-TGR-110,6,10500,106,38532,TANGERANG,KOTA TANGERANG
M-TGR-022,M-TGR-022,6,10551,106,38587,TANGERANG,KOTA TANGERANG
M-JKU-077,M-JKU-069,6,6.604,106,56.906,CILINCING,JAKARTA UTARA
M-JKT-095,M-JKT-095,6,19.636,106,53.848,CIPAYUNG,JAKARTA TIMUR
M-JKT-097,M-JKT-097,6,19.659,106,53.877,CIPAYUNG,JAKARTA TIMUR
M-JKT-096,M-JKT-096,6,19.658,106,53.871,CIPAYUNG,JAKARTA TIMUR
M-TGR-032,M-TGR-027,6,14736,106,42581,KARAWACI,KOTA TANGERANG
M-JKS-084,M-JKS-084,6,19.938,106,48.11,JAGAKARSA,JAKARTA SELATAN
D-BKS-024,D-BKS-024,6,10.164,106,59.656,TARUMAJAYA,BEKASI
D-BGR-031,D-BGR-031,-6,48474,106,84235,CIBINONG,BOGOR
D-BGR-217,D-BGR-217,6,33.761,106,38.526,CIBUNGBULANG,BOGOR
D-BGR-215,D-BGR-214,6,34.773,106,38.613,CIBUNGBULANG,BOGOR
D-BGR-138,D-BGR-138,6,27.307,106,58.322,KELAPA NUNGGAL,BOGOR
D-BGR-237,D-BGR-236,6,24.822,107,1.627,CILEUNGSI,BOGOR
M-TGR-106,M-TGR-106,6,12261,106,39473,PINANG,KOTA TANGERANG
M-TGR-107,M-TGR-107,6,12243,106,39819,PINANG,KOTA TANGERANG
D-BKS-027,D-BKS-027,6,8.072,107,0.451,TARUMAJAYA,BEKASI
D-BKS-031,D-BKS-031,6,6.751,106,59.659,TARUMAJAYA,BEKASI
D-BKS-056,D-BKS-055,6,20.287,107,7.268,CIKARANG SELATAN,BEKASI
M-JKS-097,M-JKS-097,6,15.257,106,49.395,MAMPANG PRAPATAN,JAKARTA SELATAN
M-JKS-095,M-JKS-095,6,13.713,106,45.257,PESANGGRAHAN,JAKARTA SELATAN
D-BGR-171,D-BGR-171,6,36.54,106,38.492,LEUWILIANG,BOGOR
D-BGR-222,D-BGR-222,6,33.809,106,33.782,LEUWISADENG,BOGOR
D-BGR-188,D-BGR-188,6,32.958,106,32.119,CIGUDEG,BOGOR
