marketCode,name,address,LS_Coord_Deg,LS_Coord_Min,BT_Coord_Deg,BT_Coord_Min
M-JKP-026,Pasar Gondangdia,Gondangdia,6,11.183,106,49.956
M-JKP-027,H. Ahmad,Ps. Benhil,6,12.972,106,48.918
M-JKP-028,Pasar Palm Merah,Pasar Palm Merah,6,12.533,106,47.742
M-JKP-029,Tolani dan Ali,Gelora VI / 8,6,12.456,106,47.794
M-JKP-030,Pasar Kebon Jati Tanah Abang,Pasar Kebon Jati Tanah Abang,6,11.356,106,48.714
M-JKP-031,Pasar Kebon Melati,Jl. Pasar Kebon Melati,6,11.583,106,48.742
M-JKP-032,PD. Pasar Jaya,Jl. Kartini VIII dalam,6,9.081,106,49.838
M-JKP-033,Pasar Atom,"Jl. Gereja Ayam Motor, Jakarta Pusat",,0,,0
M-JKP-034,Ps. Pangkalan Asem,,0,0,0,0
M-JKP-035,Pasar Karang Anyar,Jl. B III RT/RW. 03/05,6,9.382,106,49.706
M-JKP-036,Pasar Pulau Gundul,Jl Rawa Tengah,,0,,0
M-JKS-002,Suparno,Ps. Kebayoran Lama No. 3,6,14.334,106,46.892
M-JKS-006,Kasman Panjaitan,Jl. Raya Jagakarsa,6,19.866,106,40.986
M-JKS-022,Rusdi MM,Jl. Raya Pasar Minggu,6,17.068,106,50.605
M-JKS-026,Pasar Buncit,Jl. Kemang Utara,6,15.293,106,49.443
M-JKS-027,Tajudin ( Kepala Pasar),Jl. Mampang Prapatan,6,14.48,106,49.501
M-JKS-028,PD. Pasar Jaya Blok A,Jl. Fatmawati Raya,6,18.736,106,47.622
M-JKS-029,PD. Pasar Jaya,Jl. Pangeran Antasari,6,16.715,106,48.488
M-JKS-030,Pasar Mede,Jl. Fatmawati,6,17.212,106,47.717
M-JKS-031,Alfa,Jl. Palm Petukangan Utara,6,13.612,106,45.272
M-JKS-032,Thoyib,Jl. Cileduk Raya Blok. A1 No. 29,6,14.257,106,45.474
M-JKS-033,Market Officer,Kebayoran Baru,6,14.492,106,47.461
M-JKS-034,Pasar Pondok Labu,Jl. Fatmawati,6,14.492,106,47.461
M-JKS-036,Market Officer,Jl. Kebayoran Lama,6,14.272,106,46.919
M-JKS-038,Ps. Radio Dalam,Jl. BRI,6,15.514,106,47.471
M-JKS-039,Ps. Cipete,Jl. Fatmawati,6,15.621,106,47.809
M-JKS-040,Pasar Rumput,Jl. Raya sultan agung,6,12.451,106,50.428
M-JKS-041,Pasar Bangka Mas,Jl. Bangka Raya,6,14.768,106,48.929
M-JKS-042,Pasar Pondok Indah,Jl. Ciputat Raya,6,15.71,106,46.56
M-JKS-043,Pasar Tebet Barat,Jl. Tebet Barat Dalam Raya,6,14.378,106,50.87
M-JKS-044,Pasar Tebet Timur,Jl. Tebet Timur Dalam Raya,6,14.085,106,51.412
M-JKS-045,Pasar Bintaro,jl. Bintaro Permai,6,15.382,106,45.677
M-JKT-019,Ps. Perumnas Klender,"Kel. Malaka Jaya, Jl. Teratai Raya",6,13.286,106,55.918
M-JKT-050,PD. Pasar Jaya,Jl. Kayu Manis,6,12.304,106,51.665
M-JKT-074,PD. Pasar Klender,Jl. Pasar Klender Jakarta Timur,6,12.738,106,54.08
M-JKT-087,Market Agency,Pasar Ujung Menteng,6,11.406,106,57.989
M-JKT-091,PJKA,Rawa Bunga,6,12.927,106,52.046
M-JKT-092,PD. Pasar Jaya,Jl. Kebon Nanas,6,14.162,106,52.873
M-JKT-093,PD. Pasar Jaya,Jl. Gang Banlen,,0,,0
M-JKT-100,H. Dalih,Jl. Raya Munjul,6,21.041,106,53.537
M-JKT-113,Market Agency,Pasar Kramat Jati,,0,,0
M-JKT-115,PD. Pasar Jaya,Pasar Cijantung,6,18.459,106,51.809
M-JKT-117,PD. Pasar Jaya Ciracas,Jl. Raya Ciracas,6,19.805,106,52.28
M-JKT-118,PD. Pasar Jaya Cibubur,Jl. Lapangan Tembak. Cibubur-JakTim,6,20.739,106,52.339
M-JKT-120,Ps. Jaya Rawamangun,Jl. Pegambiran Jati,6,11.918,106,53.424
M-JKT-121,Pasar Klender SS,Jl Raya Bekasi Timur km 17 rt 001 Rw 01,6,12.756,106,54.064
M-JKT-122,Pasar Enjo,Jl. Pisangan Lama,6,12.677,106,52.52
M-JKT-123,Pasar Pulogadung,Jl. Bekasi Raya,6,11.203,106,54.332
M-JKT-124,Pasar Ampera,Jl. Kp. Ambon,6,11.138,106,53.082
M-JKU-007,Amsori,Jl. Sarang Bangau,6,6.602,106,56.869
M-JKU-009,PD. Pasar Jaya,Jl. Cilincing Baru Raya,6,6.137,106,55.645
M-JKU-010,PD. Pasar Jaya,Jl. Raya Tipar Cakung,6,8.457,106,55.335
M-JKU-012,Warakas Market,Jl. Warakas,6,6.89,106,52.791
M-JKU-013,Rawa Badak Market,Koja,6,6.914,106,53.718
M-JKU-014,Ps.Waru,,0,0,0,0
M-JKU-015,Tugu Market,Tugu Utara,6,7.604,106,55.029
M-JKU-016,Koja Baru Market,Tugu Utara,6,7.263,106,54.944
M-JKU-017,Lontar Market,Tugu Utara,6,7.144,106,54.64
M-JKU-018,PD. Pasar Jaya,Jl. Teluk Gong Raya,6,8.286,106,46.928
M-JKU-019,Johnson,Jl. Inpres Pasar Kelapa Gading,6,10.522,106,54.381
M-JKU-020,Suyatmi,Jl. Pasar Pedongkelan,,0,,0
M-JKU-023,Ps. Raga Sakti Warakas,Jl. Warakas,6,5.896,106,52.777
M-JKU-024,Ps. Mandiri Kelapa Gading,Jl. Pasar Mandiri Kelapa Gading,6,9.599,106,54.552
M-JKU-025,Ps. Bebek Marunda,Jl. Raya Marunda,6,1.1,106,9.478
M-JKU-026,Pasar Lokbin Malaka,Jl Malaka,6,1.404,106,9.544
M-JKU-027,Pasar K5. Bendungan Melayu,Jl Plumpang Semper,6,7.85,106,54.219
M-JKU-028,Pasar Sungai Bambu,Jl Sungai Bambu Raya,6,7.654,106,33.004
M-JKU-029,Pasar Sunter,Jl Danau Sunter Selatan,6,8.316,106,52.221
M-JKU-030,Pasar Pademangan Timur,Jl Elang,6,8.114,106,50.571
M-JKU-031,Pasar K5. Hybrida,Jl Hybrida,6,8.62,106,54.674
M-JKU-032,Pasar Pademangan Barat,Jl Rajawali,6,8.126,106,50.412
M-JKU-033,Pasar Pluit,Jl Pluit kencana,6,7.251,106,47.313
M-TGR-004,Perusahaan Swasta,Benteng Betani,6,10.508,106,39.873
M-TGR-005,Lurah Setempat,Jl. Ki Hajar Dewantara,6,11.89,106,41.641
M-TGR-006,Lurah,Cipondoh Makmur,6,10.59,106,41.034
